id,tyyppikoodi,tyyppikoodi_alaryhma,tyyppikoodi_paaryhma,sijainti_id,reitisto_id,kunta_nimi_fi,lisatieto_fi,reitti_id,tyyppi_nimi_fi,nimi_fi,omistaja,yllapitaja,reitti_nimi_fi,palvelupaikka,counter
72359,101,1,0,584793,,Helsinki,"Käärmeluotoja on kolme: pohjoinen, läntinen ja itäinen. Ne kaikki ovat maisemallisesti näyttäviä korkeita kalliosaaria, joiden rantakalliot ovat paikoin erittäin jyrkkiä ja kasvillisuus karua. Pieni hiekkaranta, muuten rannat kallioisia tai kivikkoisia. Saaret ovat kuitenkin mainio retkikohde. Saaren pinta-ala on yhteensä 4,5 ha.",,Lähipuisto,Käärmeluodot (Itäinen),Kunta,Kunta / liikuntatoimi,,ulkotila (alue),1
72361,103,1,0,584794,,Helsinki,"Pinta-ala: 4,2 ha
Hankintavuosi: 1994
Merikarttasarja Z 625

Kalliosaari sijaitsee Kallahdenniemen edustalla Itä-Helsingissä. Saari on noin 350 metriä pitkä, pääosin kallioista mäntykangasta, mutta saaren keskivaiheen matalammassa osassa on yllättävän rehevääkin maastoa saniaisineen.
Pohjoisosan kallion lakialue kohoaa noin 19:ään metriin. Sieltä avautuvat laajat näkymät saaristoon. Läntinen kallioranta on erittäin jylhää; itäranta muodostuu laakeammista kallioista ja siellä on myös uimapaikaksi sopiva hiekkaranta. Rantavesissä on kiviä, joten veneilijöiden on syytä rantautua varovaisesti.

Infotaulu, keittokatoksia, taukopaikka, käymälöitä, kiinnitysrenkaita, näköalapaikka.",,Ulkoilualue,Kalliosaari,Rekisteröity yhdistys,Yksityinen / yhdistys,,ulkotila (alue),2
72361,103,1,0,584794,,Helsinki,"Pinta-ala: 4,2 ha
Hankintavuosi: 1994
Merikarttasarja Z 625

Kalliosaari sijaitsee Kallahdenniemen edustalla Itä-Helsingissä. Saari on noin 350 metriä pitkä, pääosin kallioista mäntykangasta, mutta saaren keskivaiheen matalammassa osassa on yllättävän rehevääkin maastoa saniaisineen.
Pohjoisosan kallion lakialue kohoaa noin 19:ään metriin. Sieltä avautuvat laajat näkymät saaristoon. Läntinen kallioranta on erittäin jylhää; itäranta muodostuu laakeammista kallioista ja siellä on myös uimapaikaksi sopiva hiekkaranta. Rantavesissä on kiviä, joten veneilijöiden on syytä rantautua varovaisesti.

Infotaulu, keittokatoksia, taukopaikka, käymälöitä, kiinnitysrenkaita, näköalapaikka.",,Ulkoilualue,Kalliosaari,Rekisteröity yhdistys,Yksityinen / yhdistys,,ulkotila (alue),2
72415,101,1,0,584798,,Helsinki,"Käärmeluotoja on kolme: pohjoinen, läntinen ja itäinen. Ne kaikki ovat maisemallisesti näyttäviä korkeita kalliosaaria, joiden rantakalliot ovat paikoin erittäin jyrkkiä ja kasvillisuus karua. Pieni hiekkaranta, muuten rannat kallioisia tai kivikkoisia. Saaret ovat kuitenkin mainio retkikohde. Saaren pinta-ala on yhteensä 4,5 ha. Keittokatos, käymälä  ja telttailu sallittu",,Lähipuisto,Käärmeluodot (Pohjoinen),Kunta,Kunta / liikuntatoimi,,ulkotila (alue),4
72514,103,1,0,584806,,Helsinki,"Pinta-ala: 1,1 ha
Hankintavuosi: 1994
Merikarttasarja Z 625

Infotaulu, kiinnitysrenkaita, laituri, nuotiopaikka, puuvaja, sauna, puucee",,Ulkoilualue,Pikku Leikosaari,Rekisteröity yhdistys,Yksityinen / yhdistys,,ulkotila (alue),5
72606,101,1,0,584810,,Helsinki,"Saaren päärakennus ja siihen kuuluva laituri on vuokrattu Suomenlahden uistelijat ry:lle. Pihlajaluoto on hyvää retkeilyaluetta, jolla lyhytaikainen telttailu on sallittu. Avogrilli, puuvaja ja käymälä",,Lähipuisto,Pihlajaluoto,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),6
72629,101,1,0,584811,,Helsinki,"Käärmeluotoja on kolme: pohjoinen, läntinen ja itäinen. Ne kaikki ovat maisemallisesti näyttäviä korkeita kalliosaaria, joiden rantakalliot ovat paikoin erittäin jyrkkiä ja kasvillisuus karua. Pieni hiekkaranta, muuten rannat kallioisia tai kivikkoisia. Saaret ovat kuitenkin mainio retkikohde. Saaren pinta-ala on yhteensä 4,5 ha. Veneenkiinnitysrenkaita, keittokatos, käymälä ja telttailu sallittu.",,Lähipuisto,Käärmeluodot (Läntinen),Kunta,Kunta / liikuntatoimi,,ulkotila (alue),7
513338,101,1,0,606124,,Helsinki,"Ulkokari on Länsi-Helsingin ulkosaari. Saarella on paljon merilintuja, joten pesimäkautena on liikuttava erityisen varovasti. Hyvä heittouistelualue. Ei retkeilyä tukevia palveluita.",,Lähipuisto,Ulkokari,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),8
513341,101,1,0,606126,,Helsinki,Maihinnousu ja merilinnustus sallittu. Hyvä heittouistelualue. Ei retkeilyä tukevia palveluja.,,Lähipuisto,Abrahaminluoto,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),9
513344,101,1,0,606128,,Helsinki,"Ainoastaan maihinnousu sallittu. Tarkoitettu päiväretkeilyyn. Villaluodot ovat mukavia retkipaikkoja. Metsäisiä saaria ja kivikkoisia rantoja. Läntisen Villaluotojen yhteispinta-ala on 5,5 ha.",,Lähipuisto,Läntinen Villaluoto,Kunta,Kunta / liikuntatoimi,,ulkotila (alue),10
