palvelupaikka,counter
ulkotila (alue),1
ulkotila (alue),2
ulkotila (alue),3
ulkotila (alue),4
ulkotila (alue),5
ulkotila (alue),6
ulkotila (alue),7
ulkotila (alue),8
ulkotila (alue),9
ulkotila (alue),10
ulkotila (alue),11
ulkotila (alue),12
ulkotila (alue),13
ulkotila (alue),14
ulkotila (alue),15
ulkotila (alue),16
ulkotila (alue),17
ulkotila (alue),18
ulkotila (alue),19
ulkotila (alue),20
ulkotila (alue),21
ulkotila (alue),22
ulkotila (alue),23
ulkotila (alue),24
ulkotila (alue),25
ulkotila (alue),26
ulkotila (alue),27
ulkotila (alue),28
ulkotila (alue),29
ulkotila (alue),30
ulkotila (alue),31
ulkotila (alue),32
ulkotila (alue),33
ulkotila (alue),34
ulkotila (alue),35
ulkotila (alue),36
ulkotila (alue),37
ulkotila (alue),38
ulkotila (alue),39
ulkotila (alue),40
ulkotila (alue),41
ulkotila (alue),42
ulkotila (alue),43
ulkotila (alue),44
ulkotila (alue),45
ulkotila (alue),46
ulkotila (alue),47
ulkotila (alue),48
ulkotila (alue),49
ulkotila (alue),50
ulkotila (alue),51
ulkotila (alue),52
ulkotila (alue),53
ulkotila (alue),54
ulkotila (alue),55
ulkotila (alue),56
ulkotila (alue),57
ulkotila (alue),58
ulkotila (alue),59
ulkotila (alue),60
ulkotila (alue),61
ulkotila (alue),62
ulkotila (alue),63
ulkotila (alue),64
ulkotila (alue),65
ulkotila (alue),66
ulkotila (alue),67
ulkotila (alue),68
ulkotila (alue),69
ulkotila (alue),70
ulkotila (alue),71
ulkotila (alue),72
ulkotila (alue),73
ulkotila (alue),74
ulkotila (alue),75
ulkotila (alue),76
ulkotila (alue),77
ulkotila (alue),78
ulkotila (alue),79
ulkotila (alue),80
ulkotila (alue),81
ulkotila (alue),82
ulkotila (alue),83
ulkotila (alue),84
ulkotila (alue),85
ulkotila (alue),86
ulkotila (alue),87
ulkotila (alue),88
ulkotila (alue),89
ulkotila (alue),90
ulkotila (alue),91
ulkotila (alue),92
ulkotila (alue),93
ulkotila (alue),94
ulkotila (alue),95
ulkotila (alue),96
ulkotila (alue),97
ulkotila (alue),98
ulkotila (alue),99
ulkotila (alue),100
ulkotila (alue),101
ulkotila (alue),102
ulkotila (alue),103
ulkotila (alue),104
ulkotila (alue),105
ulkotila (alue),106
ulkotila (alue),107
ulkotila (alue),108
ulkotila (alue),109
ulkotila (alue),110
ulkotila (alue),111
ulkotila (alue),112
ulkotila (alue),113
ulkotila (alue),114
ulkotila (alue),115
ulkotila (alue),116
ulkotila (alue),117
ulkotila (alue),118
ulkotila (alue),119
ulkotila (alue),120
ulkotila (alue),121
ulkotila (alue),122
ulkotila (alue),123
ulkotila (alue),124
ulkotila (alue),125
ulkotila (alue),126
ulkotila (alue),127
ulkotila (alue),128
ulkotila (alue),129
ulkotila (alue),130
ulkotila (alue),131
ulkotila (alue),132
ulkotila (alue),133
ulkotila (alue),134
ulkotila (alue),135
ulkotila (alue),136
ulkotila (alue),137
ulkotila (alue),138
ulkotila (alue),139
ulkotila (alue),140
ulkotila (alue),141
ulkotila (alue),142
ulkotila (alue),143
ulkotila (alue),144
ulkotila (alue),145
ulkotila (alue),146
ulkotila (alue),147
ulkotila (alue),148
ulkotila (alue),149
ulkotila (alue),150
ulkotila (alue),151
ulkotila (alue),152
ulkotila (alue),153
ulkotila (alue),154
ulkotila (alue),155
ulkotila (alue),156
ulkotila (reitti),157
ulkotila (reitti),158
ulkotila (reitti),159
ulkotila (reitti),160
ulkotila (reitti),161
ulkotila (reitti),162
ulkotila (reitti),163
ulkotila (reitti),164
