vtj_prt,tyyppi,tila,i_kerrosala,c_vtj_prt,c_valmpvm,c_kiinteistotunnus,c_kayttark,c_rakennusluokka,counter
103036765L,Muu käyttötarkoitus,voimassa,30393.0,103036765L,2011-04-15T00:00:00+03:00,091-002-0013-0001,311,0710,1706
101992770B,Muu käyttötarkoitus,voimassa,15245.0,101992770B,1979-12-31T00:00:00+02:00,091-045-0158-0001,354,0742,1707
1030461766,Muu käyttötarkoitus,voimassa,14360.0,1030461766,1887-12-31T00:00:00+02:00,091-002-0097-0006,323,0713,1708
103266948V,Muu käyttötarkoitus,voimassa,4735.0,103266948V,1997-12-31T00:00:00+02:00,091-016-0735-0002,511,0820,1709
101662481V,Muu käyttötarkoitus,voimassa,5464.0,101662481V,1991-12-31T00:00:00+02:00,091-046-0123-0007,511,0820,1710
103075012C,Yleinen tai liikerakennus,voimassa,23024.0,103075012C,1958-12-31T00:00:00+02:00,091-004-0217-0001,151,0400,1711
1019854164,Muu käyttötarkoitus,voimassa,9425.0,1019854164,1992-12-31T00:00:00+02:00,091-420-0001-1172,354,0742,1712
1032291386,Muu käyttötarkoitus,voimassa,22521.0,1032291386,1935-12-31T00:00:00+02:00,091-014-0524-0001,354,0742,1713
103056015K,Yleinen tai liikerakennus,voimassa,23198.0,103056015K,1985-12-31T00:00:00+02:00,091-004-0064-0024,112,0311,1714
1034234710,Yleinen tai liikerakennus,voimassa,2698.0,1034234710,2014-02-21T00:00:00+02:00,091-028-0211-0002,112,0311,1715
101623238Y,Muu käyttötarkoitus,voimassa,8778.0,101623238Y,2009-08-14T00:00:00+03:00,091-045-0560-0001,354,0742,1716
1031902037,Muu käyttötarkoitus,voimassa,28957.0,1031902037,1931-12-31T00:00:00+02:00,091-013-0400-0002,151,0400,1717
103295048A,Yleinen tai liikerakennus,voimassa,10393.0,103295048A,1995-12-31T00:00:00+02:00,091-020-0010-0001,119,0319,1718
103273174P,Muu käyttötarkoitus,voimassa,14448.0,103273174P,1999-12-31T00:00:00+02:00,091-022-0586-0004,352,0741,1719
101955457P,Muu käyttötarkoitus,voimassa,9130.0,101955457P,1984-12-31T00:00:00+02:00,091-045-0068-0003,331,0720,1720
102354712W,Muu käyttötarkoitus,voimassa,3630.0,102354712W,2009-09-18T00:00:00+03:00,091-036-9904-0005,359,0749,1721
100095487N,Muu käyttötarkoitus,voimassa,4664.0,100095487N,1993-12-31T00:00:00+02:00,091-054-0222-0002,511,0820,1722
1023174618,Asuinrakennus,voimassa,4655.0,1023174618,1870-12-31T00:00:00+02:00,091-432-0006-0003,239,0621,1723
103238482L,Yleinen tai liikerakennus,voimassa,10014.0,103238482L,1967-12-31T00:00:00+02:00,091-015-0520-0019,,0121,1724
103079149U,Ei käyttömerkintää kartalla,voimassa,4705.0,103079149U,1999-12-31T00:00:00+02:00,091-035-0131-0002,511,0820,1725
1032670793,Muu käyttötarkoitus,voimassa,9402.0,1032670793,1986-12-31T00:00:00+02:00,091-017-0032-0001,322,0712,1726
101878182Y,Ei käyttömerkintää kartalla,voimassa,6568.0,101878182Y,2000-08-09T00:00:00+03:00,091-043-0271-0001,511,0820,1727
102384054D,Muu käyttötarkoitus,voimassa,7090.0,102384054D,1939-12-31T00:00:00+02:00,091-436-0003-0007,354,0743,1728
1023100539,Muu käyttötarkoitus,voimassa,9756.0,1023100539,1979-12-31T00:00:00+02:00,091-054-0090-0005,354,0742,1729
100163813R,Muu käyttötarkoitus,voimassa,6145.0,100163813R,1976-12-31T00:00:00+02:00,091-045-0063-0004,351,0740,1730
103060150Y,Muu käyttötarkoitus,voimassa,4957.0,103060150Y,2003-11-03T00:00:00+02:00,091-035-0066-0004,351,0740,1731
102310043Y,Muu käyttötarkoitus,voimassa,7114.0,102310043Y,2011-10-27T00:00:00+03:00,091-054-0087-0001,351,0740,1732
1030750022,Yleinen tai liikerakennus,voimassa,9656.0,1030750022,1989-12-31T00:00:00+02:00,091-004-0179-0011,239,0621,1733
103036796L,Yleinen tai liikerakennus,voimassa,9738.0,103036796L,1920-12-31T00:00:00+01:39,091-002-0035-0016,112,0311,1734
1023286761,Muu käyttötarkoitus,voimassa,4800.0,1023286761,2000-06-29T00:00:00+03:00,091-054-0179-0003,322,0712,1735
101701152A,Muu käyttötarkoitus,voimassa,3303.0,101701152A,2000-07-12T00:00:00+03:00,091-047-0059-0001,214,0610,1736
103055984K,Yleinen tai liikerakennus,voimassa,10115.0,103055984K,1891-12-31T00:00:00+02:00,091-004-0061-0004,151,0400,1737
103046169Y,Yleinen tai liikerakennus,voimassa,21891.0,103046169Y,1966-12-31T00:00:00+02:00,091-002-0096-0032,151,0400,1738
1007531697,Muu käyttötarkoitus,voimassa,2100.0,1007531697,1986-12-31T00:00:00+02:00,091-031-0115-0003,331,0720,1739
101691396L,Yleinen tai liikerakennus,voimassa,2726.0,101691396L,1988-12-31T00:00:00+02:00,091-047-0009-0002,342,0731,1740
103056022T,Asuinrakennus,voimassa,9596.0,103056022T,1911-12-31T00:00:00+01:39,091-004-0066-0012,151,0400,1741
1030462342,Yleinen tai liikerakennus,voimassa,14770.0,1030462342,1937-12-31T00:00:00+02:00,091-003-0049-0001,151,0400,1742
1032670461,Asuinrakennus,voimassa,9866.0,1032670461,1974-12-31T00:00:00+02:00,091-017-0011-0001,039,0121,1743
103122949R,Yleinen tai liikerakennus,voimassa,6610.0,103122949R,1993-12-31T00:00:00+02:00,091-008-0142-0005,151,0400,1744
103151956E,Yleinen tai liikerakennus,voimassa,13366.0,103151956E,1958-12-31T00:00:00+02:00,091-011-0299-0002,151,0400,1745
103171051D,Muu käyttötarkoitus,voimassa,12720.0,103171051D,1961-12-31T00:00:00+02:00,091-012-0352-0001,354,0742,1746
103126970E,Yleinen tai liikerakennus,voimassa,6362.0,103126970E,2011-09-27T00:00:00+03:00,091-036-0190-0004,151,0400,1747
101691467W,Muu käyttötarkoitus,voimassa,1786.0,101691467W,1975-12-31T00:00:00+02:00,091-047-0021-0007,322,0712,1748
103036789C,Yleinen tai liikerakennus,voimassa,9840.0,103036789C,1898-12-31T00:00:00+02:00,091-002-0034-0021,151,0400,1749
103017663D,Asuinrakennus,voimassa,8740.0,103017663D,1926-12-31T00:00:00+02:00,091-001-0009-0001,039,0121,1750
1021862045,Teollisuusrakennus,voimassa,1615.0,1021862045,1984-12-31T00:00:00+02:00,091-038-0254-0007,712,1211,1751
103180614W,Yleinen tai liikerakennus,voimassa,4639.0,103180614W,1966-12-31T00:00:00+02:00,091-012-0365-0041,541,0890,1752
103055959S,Muu käyttötarkoitus,voimassa,3795.0,103055959S,1884-12-31T00:00:00+02:00,091-004-0001-0012,521,0830,1753
1030560058,Asuinrakennus,voimassa,8052.0,1030560058,1922-12-31T00:00:00+02:00,091-004-0064-0002,151,0400,1754
103142292P,Teollisuusrakennus,voimassa,4204.0,103142292P,1951-12-31T00:00:00+02:00,091-010-0283-0014,331,0720,1755
103056009C,Muu käyttötarkoitus,voimassa,5248.0,103056009C,1928-12-31T00:00:00+02:00,091-004-0064-0010,354,0742,1756
101691468X,Yleinen tai liikerakennus,voimassa,1874.0,101691468X,1970-12-31T00:00:00+02:00,091-047-0021-0007,354,0742,1757
1030462353,Asuinrakennus,voimassa,4940.0,1030462353,1899-12-31T00:00:00+02:00,091-003-0049-0002,151,0400,1758
103282664U,Asuinrakennus,voimassa,4207.0,103282664U,2007-04-16T00:00:00+03:00,091-023-0124-0018,039,0121,1759
103046287S,Yleinen tai liikerakennus,voimassa,9920.0,103046287S,1955-12-31T00:00:00+02:00,091-003-0055-0005,151,0400,1760
